asn,ip,bgp_prefix,country,registry,allocated,as_name
28459,2001:1207:ffff:fab:2a11:ecff:fe21:fcd8,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:fc7:bad6:f6ff:fe7d:9725,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
8151,2001:1208:ffff:ffff:ffff:ffff:ffff:d,2001:1208::/32,MX,lacnic,2003-02-03,"AS8151 - UNINET, MX"
8151,2001:1208:ffff:ffff:ffff:ffff:ffff:e,2001:1208::/32,MX,lacnic,2003-02-03,"AS8151 - UNINET, MX"
2549,2001:1210:100:130b:9209:d0ff:fe1f:2115,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:144b::,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:1::13,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:1::29,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:210:1:e2ff:fe74:7580,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:229::,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:250:211:32ff:fe62:e0f3,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:3::5,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:68a::,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:100:68d::,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:105:1::1,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:105:50c:dad0::1,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:106:1::,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:3410:104::,2001:1210:3000::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:7000:85a::,2001:1210::/32,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:7000:85a::19,2001:1210::/32,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210:7000:85b::,2001:1210::/32,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210::1:1,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210::1:2,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210::1:d,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
2549,2001:1210::ffff,2001:1210::/36,MX,lacnic,2004-09-24,"AS2549 - Universidad de Guadalajara, MX"
278,2001:1218:1000:500::123,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:500::133,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:500::183,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:500::53,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0:30::31,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0:34::35,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::135,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::136,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::19,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::1e,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::28,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::29,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::2a,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::2c,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::2d,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::36,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::38,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::3a,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::3c,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::3e,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::6,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::8,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::9,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::a,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::a0,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::a1,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::a2,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::a8,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::a9,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::aa,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::c,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::d,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
